;dengue;year;month;rain;temp;hum;time;denguel0;denguel1;denguel2;denguel3;denguel4;denguel5;denguel6;denguel7;denguel8;denguel9;denguel10;denguel11;denguel12;denguel13;denguel14;denguel15;denguel16;denguel17;denguel18;denguel19;denguel20;denguel21;denguel22;denguel23;denguel24;denguel25;denguel26;denguel27;denguel28;denguel29;denguel30;denguel31;denguel32;denguel33;denguel34;denguel35;denguel36;denguel37;denguel38;denguel39;denguel40;denguel41;denguel42;denguel43;denguel44;denguel45;denguel46;denguel47;denguel48;denguel49;denguel50;denguel51;denguel52;denguel53;denguel54;denguel55;denguel56;denguel57;denguel58;denguel59;denguel60;dengue_ma1323;dengue_ma2535;dengue_ma3747;dengue_ma4959;dengue_ma0211;dengue_ma0223;dengue_ma0235;dengue_ma0247;dengue_ma0259;dengue_ma0212;dengue_ma0224;dengue_ma0236;dengue_ma0248;dengue_ma0260;dengue_ma0213;dengue_ma0225;dengue_ma0237;dengue_ma0249;dengue_ma2324;dengue_ma2425;dengue_ma2335;dengue_ma2435;dengue_ma2337;dengue_ma2437;dengue_ma1136;dengue_ma2348;dengue_ma1248;dengue_ma2448;dengue_ma1348;dengue_ma2548;dengue_ma1148;templ0;templ1;templ2;templ3;templ4;rainl0;rainl1;rainl2;rainl3;rainl4;huml0;huml1;huml2;huml3;huml4;census;figures;irA;irAl0;irAl1;irAl2;irAl3;irAl4;irAl5;irAl6;irAl7;irAl8;irAl9;irAl10;irAl11;irAl12;irAl13;irAl14;irAl15;irAl16;irAl17;irAl18;irAl19;irAl20;irAl21;irAl22;irAl23;irAl24;irAl25;irAl26;irAl27;irAl28;irAl29;irAl30;irAl31;irAl32;irAl33;irAl34;irAl35;irAl36;irAl37;irAl38;irAl39;irAl40;irAl41;irAl42;irAl43;irAl44;irAl45;irAl46;irAl47;irAl48;irAl49;irAl50;irAl51;irAl52;irAl53;irAl54;irAl55;irAl56;irAl57;irAl58;irAl59;irAl60;irB;irBl0;irBl1;irBl2;irBl3;irBl4;irBl5;irBl6;irBl7;irBl8;irBl9;irBl10;irBl11;irBl12;irBl13;irBl14;irBl15;irBl16;irBl17;irBl18;irBl19;irBl20;irBl21;irBl22;irBl23;irBl24;irBl25;irBl26;irBl27;irBl28;irBl29;irBl30;irBl31;irBl32;irBl33;irBl34;irBl35;irBl36;irBl37;irBl38;irBl39;irBl40;irBl41;irBl42;irBl43;irBl44;irBl45;irBl46;irBl47;irBl48;irBl49;irBl50;irBl51;irBl52;irBl53;irBl54;irBl55;irBl56;irBl57;irBl58;irBl59;irBl60
38;160;2004;2;159;26,5;86;38;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;331;573;#N/A;#N/A;404;778;1394;#N/A;#N/A;447;821;1441;#N/A;#N/A;503;882;1489;#N/A;75;104;79;90;80;91;1074;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;26,5;27;26,5;#N/A;27,1;159;334;301;#N/A;29;3,676606623;0,587795246;1,443554276;#N/A;1,663703381;394151;393199;40,59;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;40,69;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
39;261;2004;3;268;26,6;86;39;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;342;569;#N/A;#N/A;518;897;1498;#N/A;#N/A;555;929;1545;#N/A;#N/A;598;972;1592;#N/A;91;75;122;95;106;79;1113;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;26,6;26,5;27;26,5;#N/A;268;159;334;301;#N/A;2,120443796;3,676606623;0,587795246;1,443554276;#N/A;394084;393680;66,23;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;66,3;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
40;36;2004;4;19;28;79;40;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;320;538;#N/A;#N/A;592;998;1595;#N/A;#N/A;678;1057;1658;#N/A;#N/A;715;1089;1705;#N/A;111;91;194;201;99;106;1117;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;28;26,6;26,5;27;26,5;19;268;159;334;301;5,393868474;2,120443796;3,676606623;0,587795246;1,443554276;394016;394160;9,14;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;9,13;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
41;13;2004;5;23;27,2;81;41;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;354;455;#N/A;#N/A;802;1207;1714;#N/A;#N/A;853;1259;1856;#N/A;#N/A;939;1318;1919;#N/A;84;111;98;118;95;115;1105;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;27,2;28;26,6;26,5;27;23;19;268;159;334;5,217244264;5,393868474;2,120443796;3,676606623;0,587795246;393949;394640;3,3;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3,29;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
42;4;2004;6;6;25,9;79;42;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;373;441;#N/A;#N/A;787;1211;1684;#N/A;#N/A;838;1243;1750;#N/A;#N/A;889;1295;1892;#N/A;53;84;88;99;163;174;1013;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;25,9;27,2;28;26,6;26,5;6;23;19;268;159;3,369981951;5,217244264;5,393868474;2,120443796;3,676606623;393882;395120;1,02;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1,01;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
43;12;2004;7;13;26,2;78;43;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;403;406;#N/A;#N/A;750;1203;1630;#N/A;#N/A;800;1224;1697;#N/A;#N/A;851;1256;1763;#N/A;41;53;70;71;86;87;967;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;26,2;25,9;27,2;28;26,6;13;6;23;19;268;2,008585209;3,369981951;5,217244264;5,393868474;2,120443796;393814;395600;3,05;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3,03;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
44;10;2004;8;7;25,4;74;44;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;433;377;#N/A;#N/A;734;1187;1584;#N/A;#N/A;754;1207;1634;#N/A;#N/A;804;1228;1701;#N/A;44;41;59;55;91;87;937;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;25,4;26,2;25,9;27,2;28;7;13;6;23;19;-1,680178924;2,008585209;3,369981951;5,217244264;5,393868474;393747;396080;2,54;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2,52;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
45;20;2004;9;1;26,8;74;45;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;429;362;#N/A;#N/A;709;1175;1561;#N/A;#N/A;746;1199;1596;#N/A;#N/A;766;1219;1646;#N/A;40;44;40;48;66;74;920;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;26,8;25,4;26,2;25,9;27,2;1;7;13;6;23;-0,79132692;-1,680178924;2,008585209;3,369981951;5,217244264;393679;396561;5,08;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;5,04;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
46;11;2004;10;13;27,5;74;46;11;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;450;362;#N/A;#N/A;686;1169;1547;#N/A;#N/A;719;1185;1571;#N/A;#N/A;756;1209;1606;#N/A;31;40;30;31;50;51;902;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;27,5;26,8;25,4;26,2;25,9;13;1;7;13;6;-0,439542258;-0,79132692;-1,680178924;2,008585209;3,369981951;393612;397041;2,79;2,79;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2,77;2,77;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
47;9;2004;11;329;27,6;82;47;9;11;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;468;363;#N/A;#N/A;689;1174;1552;#N/A;#N/A;706;1189;1567;#N/A;#N/A;739;1205;1591;#N/A;19;31;7;18;28;39;900;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;27,6;27,5;26,8;25,4;26,2;329;13;1;7;13;-1,100328313;-0,439542258;-0,79132692;-1,680178924;2,008585209;393545;397521;2,29;2,29;2,79;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2,26;2,26;2,77;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
48;18;2004;12;424;26,7;85;48;18;9;11;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;481;375;604;#N/A;678;1181;1560;2167;#N/A;700;1185;1563;#N/A;#N/A;717;1200;1578;#N/A;60;19;117;65;71;19;1036;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;26,7;27,6;27,5;26,8;25,4;424;329;13;1;7;-1,002193297;-1,100328313;-0,439542258;-0,79132692;-1,680178924;393477;398001;4,57;4,57;2,29;2,79;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;4,52;4,52;2,26;2,77;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
49;15;2005;1;346;26,7;86;49;15;18;9;11;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;447;318;559;#N/A;536;1134;1508;2128;#N/A;687;1190;1569;2176;#N/A;709;1194;1572;#N/A;99;60;86;99;46;59;1193;1085;1640;1042;1489;986;1800;26,7;26,7;27,6;27,5;26,8;346;424;329;13;1;1,139113607;-1,002193297;-1,100328313;-0,439542258;-0,79132692;393410;401104;3,81;3,81;4,57;2,29;2,79;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3,74;3,74;4,52;2,26;2,77;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
50;31;2005;2;484;26,7;86;50;31;15;18;9;11;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;555;331;573;#N/A;394;1109;1483;2099;#N/A;554;1152;1526;2146;#N/A;705;1208;1587;2194;80;99;69;75;98;104;1393;1074;1752;1037;1592;994;2013;26,7;26,7;26,7;27,6;27,5;484;346;424;329;13;-0,769608321;1,139113607;-1,002193297;-1,100328313;-0,439542258;393343;404207;7,88;7,88;3,81;4,57;2,29;2,79;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;7,67;7,67;3,74;4,52;2,26;2,77;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
51;39;2005;3;152;27,3;84;51;39;31;15;18;9;11;20;10;12;4;13;36;261;160;151;22;17;33;37;20;50;51;51;86;37;43;56;4;15;16;24;20;21;32;52;59;32;43;61;3;15;24;35;50;67;66;142;63;47;47;48;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;678;342;569;#N/A;148;1087;1466;2067;#N/A;409;1124;1498;2114;#N/A;569;1167;1541;2161;123;80;145;96;129;80;1386;1113;1966;1027;1705;990;2002;27,3;26,7;26,7;26,7;27,6;152;484;346;424;329;2,761364058;-0,769608321;1,139113607;-1,002193297;-1,100328313;393275;407310;9,92;9,92;7,88;3,81;4,57;2,29;2,79;5,08;2,54;3,05;1,02;3,3;9,14;66,23;40,59;38,3;5,58;4,31;8,37;9,38;5,07;12,67;12,92;12,92;21,78;9,37;10,89;14,18;1,01;3,8;4,05;6,07;5,06;5,31;8,09;13,15;14,91;8,09;10,86;15,41;0,76;3,79;6,06;8,84;12,62;16,91;16,65;35,82;15,89;11,85;11,85;12,1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;9,58;9,58;7,67;3,74;4,52;2,26;2,77;5,04;2,52;3,03;1,01;3,29;9,13;66,3;40,69;38,45;5,61;4,23;8,01;8,77;4,63;11,32;11,29;11,05;18,25;7,69;8,76;11,18;0,78;2,94;3,14;4,71;3,93;4,13;6,31;10,26;11,65;6,33;8,51;12,09;0,6;2,98;4,77;6,97;9,96;13,36;13,18;28,38;12,61;9,41;9,42;9,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
